Symbol,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120
CRM_121319P182.5,0:161.11:3265029:0.0:0,0:161.78:3536960:0.0:0,0:162.86:3697018:0.0:0,0:162.6:5383958:0.0:0,0:163.05:3705452:0.0:0,0:163.21:3653186:0.0:0,0:162.77:5557347:0.0:0,0:163.96:4950808:0.0:0,U:300.72:1153529:U:U
CRM_121319P185,0:161.11:3265029:0.0:0,0:161.78:3536960:0.0:0,0:162.86:3697018:0.0:0,0:162.6:5383958:0.0:0,0:163.05:3705452:0.0:0,0:163.21:3653186:0.0:0,0:162.77:5557347:0.0:0,0:163.96:4950808:0.0:0,0:300.72:1153529:0.0:0
CRM_122019P115,122:161.11:3265029:0.12:0,122:161.78:3536960:0.12:0,122:162.86:3697018:0.05:1,121:162.6:5383958:0.05:0,121:163.05:3705452:0.11:2,119:163.21:3653186:0.11:0,119:162.77:5557347:0.09:3,:163.96:4950808:U:U,119:300.72:1153529:0.09:0
CRM_122019P120,336:161.11:3265029:0.09:1,336:161.78:3536960:0.1:10,326:162.86:3697018:0.08:9,335:162.6:5383958:0.08:135,252:163.05:3705452:0.08:1,252:163.21:3653186:0.08:0,252:162.77:5557347:0.1:1,:163.96:4950808:U:U,252:300.72:1153529:0.1:0
CRM_122019P125,797:161.11:3265029:0.17:1,796:161.78:3536960:0.15:5,796:162.86:3697018:0.11:4,796:162.6:5383958:0.12:255,674:163.05:3705452:0.15:89,704:163.21:3653186:0.14:91,743:162.77:5557347:0.14:0,743:163.96:4950808:0.14:0,743:300.72:1153529:0.08:11
CRM_122019P130,2098:161.11:3265029:0.25:22,2104:161.78:3536960:0.25:0,2104:162.86:3697018:0.17:20,2094:162.6:5383958:0.14:1,2093:163.05:3705452:0.22:5,2093:163.21:3653186:0.18:210,2109:162.77:5557347:0.19:220,2242:163.96:4950808:0.18:27,2265:300.72:1153529:0.14:25
CRM_122019P135,1120:161.11:3265029:0.42:12,1120:161.78:3536960:0.35:13,1117:162.86:3697018:0.35:10,1117:162.6:5383958:0.31:2,1117:163.05:3705452:0.33:61,1067:163.21:3653186:0.3:31,1078:162.77:5557347:0.3:21,1078:163.96:4950808:0.28:8,U:300.72:1153529:U:U
CRM_122019P140,2920:161.11:3265029:0.75:31,2923:161.78:3536960:0.67:33,2923:162.86:3697018:0.57:304,2968:162.6:5383958:0.55:57,2982:163.05:3705452:0.52:137,3098:163.21:3653186:0.46:71,3051:162.77:5557347:0.55:88,3002:163.96:4950808:0.45:57,2999:300.72:1153529:0.48:21
CRM_122019P145,2579:161.11:3265029:1.28:37,2562:161.78:3536960:1.19:58,2579:162.86:3697018:1.02:117,2622:162.6:5383958:0.96:100,2628:163.05:3705452:0.87:96,2582:163.21:3653186:0.81:102,2595:162.77:5557347:0.94:1460,2459:163.96:4950808:0.79:53,2469:300.72:1153529:0.7:158
CRM_122019P150,2042:161.11:3265029:2.19:458,2456:161.78:3536960:1.95:239,2525:162.86:3697018:1.72:373,2534:162.6:5383958:1.66:137,2810:163.05:3705452:1.47:108,2855:163.21:3653186:1.32:183,2908:162.77:5557347:1.6:488,2916:163.96:4950808:1.4:82,2954:300.72:1153529:1.27:272
