Symbol,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191120,20191121,20191122
UBER_120619P31.5,130:27.01:44941622:4.4:10,120:27.14:41300937:4.4:0,120:26.7:32448063:4.4:3,120:26.71:33124982:5.3:3,120:25.99:27991933:5.3:0,120:26.79:41353173:5.3:0,120:26.75:37309667:5.3:0,120:28.03:52741127:5.3:0,120:29.46:55638958:2.38:3,[117:29.56:44372725:2.38:0
UBER_120619P32,168:27.01:44941622:4.8:4,168:27.14:41300937:5.4:2,168:26.7:32448063:4.77:1,168:26.71:33124982:5.6:1,168:25.99:27991933:5.6:0,114:26.79:41353173:5.6:0,114:26.75:37309667:5.6:0,114:28.03:52741127:4.13:25,139:29.46:55638958:4.13:0,[139:29.56:44372725:4.13:0
UBER_121319P20,8:27.01:44941622:0.1:0,8:27.14:41300937:0.1:0,8:26.7:32448063:0.1:2,6:26.71:33124982:0.1:0,6:25.99:27991933:0.1:0,6:26.79:41353173:0.1:0,6:26.75:37309667:0.1:0,6:28.03:52741127:0.1:0,6:29.46:55638958:0.1:0,6:29.56:44372725:0.1:0
UBER_121319P21,8:27.01:44941622:0.15:0,8:27.14:41300937:0.1:1,9:26.7:32448063:0.08:2,8:26.71:33124982:0.05:1,8:25.99:27991933:0.05:0,8:26.79:41353173:0.05:0,8:26.75:37309667:0.08:20,25:28.03:52741127:0.05:0,25:29.46:55638958:0.05:0,25:29.56:44372725:0.05:0
UBER_121319P22,2:27.01:44941622:0.15:10,12:27.14:41300937:0.15:3,12:26.7:32448063:0.1:1,13:26.71:33124982:0.13:23,27:25.99:27991933:0.15:2,29:26.79:41353173:0.1:2,27:26.75:37309667:0.07:2,28:28.03:52741127:0.07:0,28:29.46:55638958:0.06:1,27:29.56:44372725:0.06:0
UBER_121319P23,351:27.01:44941622:0.19:7,356:27.14:41300937:0.25:11,366:26.7:32448063:0.25:0,366:26.71:33124982:0.2:2,366:25.99:27991933:0.2:1,367:26.79:41353173:0.17:11,371:26.75:37309667:0.14:3,371:28.03:52741127:0.05:3,372:29.46:55638958:0.05:0,372:29.56:44372725:0.05:0
UBER_121319P24,33:27.01:44941622:0.55:0,33:27.14:41300937:0.4:3,34:26.7:32448063:0.39:25,46:26.71:33124982:0.43:5,48:25.99:27991933:0.45:13,59:26.79:41353173:0.33:6,61:26.75:37309667:0.28:22,82:28.03:52741127:0.15:46,93:29.46:55638958:0.05:8,93:29.56:44372725:0.05:0
UBER_121319P25,223:27.01:44941622:0.6:5,226:27.14:41300937:0.6:85,241:26.7:32448063:0.6:20,258:26.71:33124982:0.6:11,261:25.99:27991933:0.68:5,261:26.79:41353173:0.5:3973,3895:26.75:37309667:0.45:32,3916:28.03:52741127:0.22:340,3782:29.46:55638958:0.1:22,[3776:29.56:44372725:0.1:14
UBER_121319P25.5,49:27.01:44941622:0.7:10,48:27.14:41300937:0.8:3,49:26.7:32448063:0.74:4,47:26.71:33124982:0.9:21,68:25.99:27991933:1.0:25,93:26.79:41353173:0.69:17,95:26.75:37309667:0.65:15,87:28.03:52741127:0.33:2,87:29.46:55638958:0.15:5,[86:29.56:44372725:0.15:0
UBER_121319P26,95:27.01:44941622:0.86:7,98:27.14:41300937:0.95:30,99:26.7:32448063:0.9:38,106:26.71:33124982:1.0:20,126:25.99:27991933:1.2:50,157:26.79:41353173:0.85:39,131:26.75:37309667:0.85:4,132:28.03:52741127:0.5:49,168:29.46:55638958:0.2:11,[168:29.56:44372725:0.2:5
UBER_121319P26.5,39:27.01:44941622:1.1:1,40:27.14:41300937:1.2:11,40:26.7:32448063:1.0:4,42:26.71:33124982:1.2:84,120:25.99:27991933:1.4:57,120:26.79:41353173:1.1:35,147:26.75:37309667:1.15:7,158:28.03:52741127:0.6:40,158:29.46:55638958:0.29:32,[153:29.56:44372725:0.22:31
UBER_121319P27,163:27.01:44941622:1.36:24,147:27.14:41300937:1.35:15,147:26.7:32448063:1.3:7,151:26.71:33124982:1.63:2,149:25.99:27991933:1.8:31,150:26.79:41353173:1.35:25,161:26.75:37309667:1.3:120,209:28.03:52741127:0.8:102,218:29.46:55638958:0.4:95,[245:29.56:44372725:0.35:12
UBER_121319P27.5,81:27.01:44941622:1.5:41,122:27.14:41300937:1.7:26,122:26.7:32448063:1.35:11,122:26.71:33124982:1.35:0,122:25.99:27991933:2.09:9,131:26.79:41353173:1.65:3,133:26.75:37309667:1.65:150,283:28.03:52741127:1.0:191,243:29.46:55638958:0.5:4,[244:29.56:44372725:0.4:9
UBER_121319P28,144:27.01:44941622:2.1:0,144:27.14:41300937:1.86:15,145:26.7:32448063:1.95:3,145:26.71:33124982:2.35:13,144:25.99:27991933:2.45:11,149:26.79:41353173:2.0:5,151:26.75:37309667:2.05:1,151:28.03:52741127:1.15:68,154:29.46:55638958:0.6:94,[176:29.56:44372725:0.59:43
UBER_121319P28.5,56:27.01:44941622:2.1:9,52:27.14:41300937:2.1:0,52:26.7:32448063:2.17:1,51:26.71:33124982:2.5:2,53:25.99:27991933:2.7:2,51:26.79:41353173:2.7:0,51:26.75:37309667:2.7:0,51:28.03:52741127:1.45:7,58:29.46:55638958:0.8:23,[77:29.56:44372725:0.64:18
UBER_121319P29,109:27.01:44941622:2.7:0,109:27.14:41300937:3.0:1,110:26.7:32448063:2.7:4,113:26.71:33124982:3.1:4,111:25.99:27991933:3.1:0,111:26.79:41353173:3.1:0,111:26.75:37309667:3.1:0,110:28.03:52741127:1.65:416,258:29.46:55638958:1.01:22,[270:29.56:44372725:0.85:16
UBER_121319P29.5,57:27.01:44941622:2.75:12,47:27.14:41300937:2.9:2,47:26.7:32448063:3.0:8,48:26.71:33124982:3.5:1,48:25.99:27991933:3.5:0,48:26.79:41353173:3.2:1,49:26.75:37309667:3.2:0,49:28.03:52741127:2.05:21,47:29.46:55638958:1.2:48,[87:29.56:44372725:1.13:18
